EVTDESCHF20003_BON;A large number of [sponsoring_king.Religion.GetName] [sponsoring_king.Religion.GetPriestTitle]s have arrived in [converting_king.Capital.GetName], accompanied by a number of prominent architects from [sponsoring_king.GetBestName]'s realm. The former are here to see to the spiritual needs of you and your vassals, while the latter are here to help oversee the construction of sacred places within the walls of [converting_king.Capital.GetName].\nOnce you and the other converts have assembled, the [sponsoring_king.Religion.GetPriestTitle]s begin the ceremony by reading verses from the [sponsoring_king.Religion.GetScriptureName] about enlightenment and spiritual purity. As they continue, you can start to feel more at ease. This ceremony will bring you closer to enlightenment, in this life or one to come.;;;;;;;;;;;;;x
EVTDESCHF20003_AINU;The [sponsoring_king.Religion.GetName] [sponsoring_king.Religion.GetPriestTitle]s arrive in the company of several seemingly tame bears dressed in festive garb. They request that the women that currently are breast-feeding children come forward, and tell them to feed the bears as if they were the children in question, all under the watchful eyes of you and your vassals.\nOnce the bears have been fed, the greatest archers are called forth and told to kill the bears cleanly, after which the meat is distributed to all present to feast on. This, the [sponsoring_king.Religion.GetPriestTitle]s tells you, will help the spirit of the bear return to the land of the gods with word of your decision to follow the path of righteousness.;;;;;;;;;;;;;x
EVTDESCHF20003_ANDAMANESE;The [sponsoring_king.Religion.GetPriestTitle]s of [sponsoring_king.Religion.GetHighGodName] have come, bringing with them a plethora of torches and the holy word of the [sponsoring_king.Religion.GetName] faith. [sponsoring_king.Religion.GetHighGodNameCap]'s blessing is upon you and your vassals, they proclaim, and thus you shall share in the sacred flame gifted to the faithful.\nUnder the supervision of the most senior [sponsoring_king.Religion.GetPriestTitle], the holy symbols and writings of old are gathered together in a massive pyre in the centre of [converting_king.Capital.GetName]. Once the [sponsoring_king.Religion.GetPriestTitle]s are satisfied, the pyre is set ablaze.\nWith this act, you and your vassals are purified and welcomed into [sponsoring_king.Religion.GetHighGodName]'s holy embrace.;;;;;;;;;;;;;x
EVTDESCHF20003_BAI;The [sponsoring_king.Religion.GetPriestTitle]s sent by [sponsoring_king.GetBestName] arrive in [converting_king.Capital.GetName] in a grand procession, carrying great litters containing the statues of several prominent Benzhu.\nSeveral prominent historians in the service of [sponsoring_king.GetBestName] have also come, and they waste no time before interrogating you and your vassals about your ancestors and whether depictions of any of them exist somewhere near [converting_king.Capital.GetName].\nOnce satisfied, yet more litters are constructed and representative depictions of the chosen ancestors placed within them. They have joined the ranks of the Benzhu, you are told, much like you and your families have joined the ranks of the faithful.;;;;;;;;;;;;;x
EVTDESCHF20003_BAMAR;Adorned in holy symbols and peacock feathers, the [sponsoring_king.Religion.GetName] [sponsoring_king.Religion.GetPriestTitle]s of [sponsoring_king.GetBestName] have arrived in [converting_king.Capital.GetName]. They place more of the same in front of you and your vassals, telling you to select something of your liking to wear as a token of your new faith in the Nats.\nOnce they are satisfied that all present have adorned themselves with the symbols in question, the [sponsoring_king.Religion.GetPriestTitle]s take turn reading holy verses from [sponsoring_king.Religion.GetScriptureName], each of them seemingly chosen due to their focus on community, enlightenment, and following the right path forward. You have made the right decision, that is the message you get from all of this.;;;;;;;;;;;;;x
EVTDESCHF20003_BATAK;The [sponsoring_king.Religion.GetName] [sponsoring_king.Religion.GetPriestTitle]s have come, accompanied by a number of geneaologists in the service of [sponsoring_king.GetBestName]. As the [sponsoring_king.Religion.GetPriestTitle]s prepare for the ceremony, the latter start interrogating you and your vassals about your ancestors, writing down all details you can remember and pressuring all for further details. Despite taking a step along a new path, you must remain aware of your lineage and those that came before you, they tell you.\nOnce the [sponsoring_king.Religion.GetPriestTitle]s and the geneaologists both are satisfied, the ceremony commences, with each of you being required to recite your lineage and to beseech the spirits of your ancestors to help you remain true to the [sponsoring_king.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTDESCHF20003_CHINESE;The [sponsoring_king.Religion.GetName] [sponsoring_king.Religion.GetPriestTitle]s arrive in a grand procession, with the most senior of them proclaiming that the omens they have seen while approaching [converting_king.Capital.GetName] are good and that the ceremony can commence without delay.\nUnder the directions of the [sponsoring_king.Religion.GetPriestTitle]s, you and your vassals prepare offerings of food and incense for your ancestors, bringing them before an altar that has been erected by the newcomes. There, you are told to put the offerings atop the altars and to bow deeply before it. Regardless of them not following the [sponsoring_king.Religion.GetName] faith, they should be shown proper respect, the [sponsoring_king.Religion.GetPriestTitle]s tell you.;;;;;;;;;;;;;x
EVTDESCHF20003_DAYAK;The [sponsoring_king.Religion.GetName] [sponsoring_king.Religion.GetPriestTitle]s request to see the tombs of the most honoured ancestors of yours as soon as they arrive in [converting_king.Capital.GetName], and also requst the assistance of some strong workers.\nThe [sponsoring_king.Religion.GetPriestTitle]s instruct their assistants to exhume the bones of your ancestors, and they then instruct you and your vassals to watch them carefully so that they can be properly reburied in accordance with the teachings of the [sponsoring_king.Religion.GetName] faith.\nOnce the bones have been cleaned to the satisfaction of the [sponsoring_king.Religion.GetPriestTitle]s, they sacrifice a large number of animals to your ancestors and then instruct you to place the bones in the tiwah that they have constructed.;;;;;;;;;;;;;x
EVTDESCHF20003_DUSUN;You and your vassals have gathered in [converting_king.Capital.GetName] to greet the [sponsoring_king.Religion.GetName] [sponsoring_king.Religion.GetPriestTitle]s as they arrive, and you do not have to wait long before the massive procession arrives.\nThe [sponsoring_king.Religion.GetPriestTitle]s inform you that they need to speak with the spirits of this place immediately, and that they are not to be disturbed while they do so. You and your vassals are permitted to watch as the [sponsoring_king.Religion.GetPriestTitle]s make their offerings, however, and they seem quite satisfied when the ceremony has been completed.\nThe spirits smile on your conversion, they tell you, and as long as you keep true to the [sponsoring_king.Religion.GetName] faith the spirits will keep disease, disaster, and drought at bay.;;;;;;;;;;;;;x
EVTDESCHF20003_INCA;The [sponsoring_king.Religion.GetName] [sponsoring_king.Religion.GetPriestTitle]s gather you and your vassals together on the eastern edge of [converting_king.Capital.GetName] as the dawn approaches, telling you that just as a new day is about to begin a new era in your lives is about to begin. The night, long and full of terror, is ending, and so is your ignorant past during which you defied [sponsoring_king.Religion.GetHighGodName] and the light.\nAs the first rays of the sun become visible, the [sponsoring_king.Religion.GetPriestTitle]s have you all bow towards the sun, with the most senior of them leading you through the proper prayers in praise of [sponsoring_king.Religion.GetHighGodName].\nThe light purifies you of your sins as the sun rises, the [sponsoring_king.Religion.GetPriestTitle]s tell you.;;;;;;;;;;;;;x
