#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
monastic_order_japanese;The Fellowship of the Kami;;;;;;;;;;;;;x
monastic_order_japanese_rank_1_female;Novice;;;;;;;;;;;;;x
monastic_order_japanese_rank_1_male;Novice;;;;;;;;;;;;;x
monastic_order_japanese_rank_2_female;Initiate;;;;;;;;;;;;;x
monastic_order_japanese_rank_2_male;Initiate;;;;;;;;;;;;;x
monastic_order_japanese_rank_3_female;Faithful;;;;;;;;;;;;;x
monastic_order_japanese_rank_3_male;Faithful;;;;;;;;;;;;;x
monastic_order_japanese_rank_4_female;Devoted;;;;;;;;;;;;;x
monastic_order_japanese_rank_4_male;Devoted;;;;;;;;;;;;;x
is_the_tenno;Holds the Chrysanthemum Throne;;;;;;;;;;;;;x
japanese_pilgrimage;Go on a Pilgrimage;;;;;;;;;;;;;x
japanese_pilgrimage_desc;Set out on a pilgrimage. If Buddhist, you will have a choice between destinations in Japan and other destinations.;;;;;;;;;;;;;x
EVTOPTD_MNM_8001;A destination in Japan;;;;;;;;;;;;;x
EVTDESC_SHINTO_1;You have decided to embark on a pilgrimage to a significant site for the [Root.Religion.GetName] faith. It will doubtlessly be a long journey, but you still feel that it will be a worthwhile endeavor, and doubtlessly others belonging to the [Root.Religion.GetName] faith will look on you more favorably once you return home.;;;;;;;;;;;;;x
EVTDESC_SHINTO_1;I will prove my devotion!;;;;;;;;;;;;;x
EVTDESC_SHINTO_2;The kami are everywhere, and so are their servants and shrines. However, for anyone to take your pilgrimage seriously you need to visit a more significant site than most, and thus you have fewer avaliable options.\n\nWhere do you wish to go?;;;;;;;;;;;;;x
EVTOPTA_SHINTO_2;I will visit the court of the [the_tenno.GetTitle]!;;;;;;;;;;;;;x
EVTOPTB_SHINTO_2;I will visit the grand shrine at Ise!;;;;;;;;;;;;;x
EVTOPTC_SHINTO_2;I will walk the Kumano route!;;;;;;;;;;;;;x
EVTOPTD_SHINTO_2;I will visit Mount Fuji!;;;;;;;;;;;;;x
EVTDESC_SHINTO_3;There are certain sites in Japan that would be suitable to visit as a Buddhist pilgrim, and those are generally where such a pilgrim would go, but as the Buddhist faith is rather more widespread and the Buddha was born in India there are of course also other sites you might wish to consider.\n\nWhere do you wish to go?;;;;;;;;;;;;;x
EVTOPTA_SHINTO_3;I will visit the many sites in Shikoku!;;;;;;;;;;;;;x
EVTOPTB_SHINTO_3;I will visit Mount Koya!;;;;;;;;;;;;;x
EVTOPTC_SHINTO_3;I will head outside Japan!;;;;;;;;;;;;;x
EVTDESC_SHINTO_6;A pilgrim is generally expected to be an ascetic during their pilgrimage, and thus should avoid various immoral actions. You have been considering this during your pilgrimage, but as it would be rather shameful to fail to be ascetic after deciding to attempt it you are not quite sure if it is something that you will be doing.;;;;;;;;;;;;;x
EVTOPTA_SHINTO_6;Ascetism is commendable!;;;;;;;;;;;;;x
